,me_mean,me_std
0,0.0,0.6324555320336759
1,0.0,0.6324555320336759
2,0.0,0.8944271909999159
3,0.2,1.1661903789690602
4,0.6,1.3564659966250536
5,1.0,1.6733200530681511
6,1.4,2.0591260281974
7,1.0,2.280350850198276
8,0.6,1.8547236990991407
9,0.6,1.8547236990991407
10,1.4,2.0591260281974
11,1.6,2.1540659228538015
12,1.4,1.624807680927192
13,1.4,2.33238075793812
14,1.2,2.039607805437114
15,1.0,2.280350850198276
16,1.2,1.5999999999999999
17,1.2,2.039607805437114
18,1.4,2.4166091947189146
19,1.8,2.7129319932501077
20,2.2,2.4819347291981715
21,2.8,2.315167380558045
22,3.2,2.315167380558045
23,3.6,2.33238075793812
24,3.6,2.0591260281974
25,3.4,1.9595917942265424
26,3.2,1.7204650534085253
27,3.4,1.3564659966250536
28,3.8,2.0396078054371136
29,4.0,2.0976176963403033
30,4.2,2.7856776554368237
31,4.8,3.059411708155671
32,5.0,3.5777087639996634
33,5.2,3.655133376499413
34,5.6,3.826225293941798
35,5.0,4.0
36,5.2,4.1182520563948
37,5.0,4.049691346263317
38,5.6,3.878143885933063
39,6.0,3.63318042491699
40,5.6,3.4409301068170506
41,5.8,3.059411708155671
42,6.2,3.124099870362662
43,6.0,3.03315017762062
44,6.0,2.6076809620810595
45,6.2,2.7129319932501077
46,6.6,2.870540018881465
47,6.8,2.4819347291981715
48,7.0,2.6076809620810595
49,6.8,2.5612496949731396
50,7.4,2.5768197453450252
51,8.0,2.756809750418044
52,8.2,2.7856776554368237
53,8.2,2.4
54,8.0,2.449489742783178
55,8.0,2.449489742783178
56,7.8,2.4819347291981715
57,8.0,2.449489742783178
58,8.2,2.3151673805580453
59,8.4,2.0591260281974
60,8.8,2.1354156504062622
61,8.8,2.1354156504062622
62,9.0,2.449489742783178
63,9.0,2.8284271247461903
64,9.4,2.5768197453450252
65,10.0,2.756809750418044
66,9.8,3.1874754901018454
67,10.2,3.3105890714493698
68,10.0,3.3466401061363023
69,10.0,3.521363372331802
70,10.0,3.521363372331802
71,10.0,4.09878030638384
72,9.8,3.54400902933387
73,9.6,3.7735924528226414
74,10.0,3.8987177379235853
75,10.4,4.317406628984581
76,10.6,4.079215610874228
77,10.8,4.445222154178573
78,11.4,4.498888751680798
79,11.2,4.578209256903839
80,11.0,4.69041575982343
81,11.2,4.019950248448356
82,11.6,4.31740662898458
83,12.2,4.445222154178573
84,12.4,4.498888751680798
85,12.4,4.409081537009721
86,12.6,4.31740662898458
87,12.6,4.31740662898458
88,12.8,4.261455150532504
89,13.2,4.534313619501853
90,13.0,4.732863826479693
91,12.8,4.833218389437829
92,13.2,5.192301994298868
93,13.2,5.3814496188294845
94,13.2,5.30659966456864
95,13.4,5.276362383309167
96,13.4,5.4626001134990645
97,13.4,5.4626001134990645
98,13.6,5.885575587824865
99,14.0,5.549774770204643
100,14.2,5.912698199637793
101,14.6,6.248199740725323
102,14.6,6.216108107168021
103,14.6,5.851495535331117
104,14.6,5.607138307550474
105,14.8,5.455272678794342
106,15.2,5.635601121442148
107,15.8,5.946427498927402
108,16.0,6.324555320336759
109,15.6,6.248199740725323
110,15.6,6.151422599691879
111,16.0,6.06630035524124
112,16.0,6.099180272790763
113,16.0,6.603029607687671
114,16.2,6.705221845696084
115,16.0,6.841052550594828
116,16.2,6.584831053261731
117,15.6,6.248199740725323
118,15.4,6.499230723708768
119,16.0,6.164414002968976
120,16.6,6.216108107168021
121,16.6,6.216108107168021
122,17.0,6.752777206453653
123,17.2,6.734983296193095
124,17.4,6.740919818541086
125,18.0,6.782329983125268
126,18.4,6.711184694225007
127,18.4,6.374950980203691
128,19.0,6.06630035524124
129,19.4,5.748043145279966
130,20.0,5.727128425310541
131,20.6,6.019966777316964
132,20.6,6.374950980203691
133,20.4,6.374950980203691
134,20.6,6.437390775772433
135,20.8,6.11228271597445
136,20.8,5.81033561853358
137,20.8,5.74108003776293
138,21.2,6.013318551349164
139,20.8,6.013318551349164
140,20.6,6.019966777316964
141,20.6,6.019966777316964
142,20.4,6.019966777316964
143,20.6,5.388877434122992
144,21.0,5.477225575051661
145,21.2,5.81033561853358
146,20.8,5.912698199637793
147,20.8,5.878775382679628
148,20.4,5.276362383309167
149,20.0,5.403702434442518
150,20.2,5.528109984434102
151,20.6,6.086049621881176
152,20.8,6.144916598294887
153,21.0,6.164414002968976
154,21.2,6.764613810115105
155,21.2,6.241794613730894
156,21.6,6.086049621881176
157,21.8,6.4
158,21.8,6.144916598294887
159,22.0,6.572670690061994
160,22.8,6.764613810115105
161,22.8,6.493073232299171
162,23.0,6.957010852370434
163,23.2,7.30479294709987
164,23.4,6.858571279792899
165,23.6,6.681317235396026
166,23.6,6.374950980203691
167,23.8,6.43117407632541
168,24.0,6.0332412515993425
169,23.6,6.343500610861482
170,23.2,6.675327707311455
171,23.4,6.499230723708768
172,23.4,6.499230723708768
173,23.2,6.675327707311455
174,23.4,6.56048778674269
175,23.8,6.615134163416491
176,24.0,6.54217089351845
177,23.6,6.468384651518491
178,23.8,6.615134163416491
179,24.0,6.928203230275509
180,24.0,7.3484692283495345
181,24.4,7.578918128598566
182,24.8,8.034923770640265
183,25.0,7.848566748139434
184,24.8,8.034923770640265
185,25.2,8.611620056644394
186,25.2,8.611620056644394
187,25.0,8.294576541331088
188,25.2,7.884161337770809
189,26.2,7.884161337770809
190,26.0,8.294576541331088
191,26.6,8.06473806146238
192,27.4,8.284926070883191
193,27.6,8.309031231136396
194,27.6,8.309031231136396
195,27.6,8.475848040166836
196,27.2,8.681013765684282
197,27.4,9.372299611087985
198,27.8,9.410632284814874
199,28.0,9.979979959899719
200,27.6,9.520504188329525
201,27.8,9.368030742904295
202,28.2,9.703607576566563
203,28.2,9.703607576566563
204,28.6,9.372299611087985
205,29.0,9.838699100999074
206,29.2,10.127191120937729
207,29.6,10.248902380255165
208,30.2,10.322790320451151
209,30.6,10.091580649234292
210,30.8,10.007996802557443
211,31.2,10.007996802557443
212,31.6,10.32666451474047
213,31.8,9.785703858180055
214,32.0,9.674709297958259
215,32.2,9.431860898041277
216,32.4,9.728309205612248
217,32.6,9.891410415102591
218,33.0,9.528903399657276
219,33.4,9.728309205612248
220,33.0,9.528903399657276
221,33.2,9.867117106835208
222,33.8,9.682974749528164
223,33.8,9.682974749528164
224,33.8,9.867117106835208
225,34.2,10.047885349664377
226,33.8,9.867117106835208
227,33.6,9.687104830649869
228,33.8,9.867117106835208
229,34.0,10.13903348450926
230,34.0,9.979979959899719
231,34.2,9.907572861200668
232,35.0,9.979979959899719
233,35.0,10.099504938362077
234,35.2,10.264501936285072
235,35.4,10.480458005259122
236,35.6,10.031948963187562
237,35.8,10.186265262597475
238,36.2,9.94786409235671
239,36.6,10.170545708072897
240,36.8,9.703607576566563
241,37.2,9.368030742904295
242,37.4,9.09065454189081
243,37.8,8.930845424706442
244,37.8,8.997777503361593
245,38.0,8.966604708583958
246,38.2,8.840814442120138
247,38.2,8.840814442120138
248,38.2,9.019977827023745
249,37.8,9.346657156438337
250,38.8,9.346657156438337
251,38.8,9.558242516278815
252,38.8,9.558242516278815
253,39.2,9.19565114605812
254,39.2,8.97552226892675
255,39.6,9.243376006633074
256,39.8,9.173875952943773
257,40.2,8.840814442120138
258,40.4,8.912911982062878
259,40.6,8.522910301065007
260,41.0,8.508818954473059
261,41.2,8.471127433818948
262,41.2,8.471127433818948
263,41.2,8.084553172563094
264,41.4,8.039900496896713
265,41.4,8.039900496896713
266,41.2,7.652450587883596
267,41.4,7.002856560004639
268,42.2,6.705221845696084
269,42.2,7.332121111929343
270,42.6,7.631513611335566
271,42.4,7.337574531137657
272,42.4,7.337574531137657
273,42.4,6.7111846942250075
274,42.4,6.7111846942250075
275,42.4,6.770524351924303
276,42.4,6.770524351924303
277,42.8,6.584831053261731
278,43.6,6.6211781428987395
279,43.2,7.025667228100119
280,43.4,7.445804187594515
281,44.2,7.782030583337488
282,44.2,7.782030583337488
283,44.2,7.984985911070852
284,44.6,8.16333265278342
285,44.8,7.909487973314075
286,44.8,7.959899496852959
287,44.6,7.863841300535
288,44.8,7.222188034107115
289,45.2,6.968500556073739
290,45.2,7.0823724838503095
291,45.4,7.059745037889116
292,45.2,6.9397406291589885
293,45.2,7.30479294709987
294,45.8,7.0823724838503095
295,45.4,7.088018058667741
296,45.2,6.968500556073739
297,45.0,6.723094525588644
298,45.0,6.723094525588644
299,45.2,6.764613810115105
300,45.2,6.764613810115105
301,45.4,6.280127387243033
302,45.4,6.280127387243033
303,45.6,6.343500610861482
304,46.0,6.06630035524124
305,46.0,6.06630035524124
306,46.6,5.885575587824865
307,47.2,5.6
308,47.0,6.06630035524124
309,47.2,6.241794613730893
310,47.4,6.216108107168021
311,47.2,6.046486583132389
312,47.0,6.418722614352485
313,47.4,6.216108107168021
314,47.4,5.6780278266313555
315,47.2,5.528109984434101
316,47.4,5.571355310873647
317,47.8,5.635601121442148
318,48.6,5.571355310873647
319,48.2,5.844655678480983
320,48.2,5.844655678480984
321,48.4,5.9194594347794975
322,48.8,6.615134163416491
323,49.4,6.343500610861483
324,49.8,6.493073232299171
325,50.0,6.603029607687671
326,49.8,6.968500556073739
327,50.2,6.675327707311455
328,50.2,6.615134163416491
329,50.8,6.43117407632541
330,51.2,6.675327707311455
331,51.6,6.406246951218788
332,51.8,6.11228271597445
333,51.6,6.499230723708769
334,52.0,6.6932802122726045
335,52.0,7.127411872482185
336,52.4,7.337574531137657
337,52.6,7.49933330370107
338,53.6,7.49933330370107
339,53.6,7.964923100695951
340,54.0,8.221921916437786
341,54.4,7.939773296511683
342,54.6,7.631513611335566
343,54.8,7.626270385975048
344,55.2,7.909487973314077
345,55.4,8.064738061462382
346,55.4,8.452218643646177
347,55.2,8.37615663654877
348,55.4,7.989993742175272
349,55.8,7.626270385975047
350,56.4,7.863841300534999
351,56.8,8.611620056644394
352,57.0,8.221921916437786
353,57.4,8.522910301065007
354,57.6,8.754427451295717
355,57.6,8.754427451295717
356,57.4,8.5463442476886
357,57.4,8.5463442476886
358,57.6,8.685620300243386
359,57.4,8.708616422830897
360,57.6,8.867919710958146
361,58.0,8.67179335547152
362,58.0,8.366600265340756
363,58.4,8.16333265278342
364,58.4,8.01498596380555
