,me_mean,me_std,opp_mean,opp_std
0,0.2,0.4000000000000001,0.2,0.4
1,0.8,0.7483314773547882,0.2,0.4
2,1.4,0.8,0.4,0.4898979485566356
3,1.8,0.7483314773547883,0.8,0.7483314773547882
4,2.4,1.019803902718557,0.8,0.7483314773547882
5,3.0,1.0954451150103321,0.8,0.7483314773547882
6,3.8,1.1661903789690602,0.8,0.7483314773547882
7,4.0,1.0954451150103321,0.8,0.7483314773547882
8,4.6,0.8,0.8,0.7483314773547882
9,5.0,0.6324555320336759,1.4,0.4898979485566356
10,5.2,0.9797958971132712,1.4,0.4898979485566356
11,5.4,1.019803902718557,1.4,0.4898979485566356
12,5.6,1.019803902718557,1.4,0.4898979485566356
13,5.6,1.019803902718557,1.8,0.4
14,6.0,1.2649110640673518,2.0,0.6324555320336759
15,6.2,0.9797958971132712,2.0,0.6324555320336759
16,6.6,1.3564659966250536,2.2,0.9797958971132712
17,6.8,1.32664991614216,2.2,0.9797958971132712
18,7.0,1.4142135623730951,2.4,1.3564659966250536
19,7.6,1.4966629547095764,2.4,1.3564659966250536
20,8.2,1.16619037896906,2.4,1.3564659966250536
21,8.4,1.2,2.4,1.3564659966250536
22,8.6,1.3564659966250536,2.4,1.3564659966250536
23,9.0,1.5491933384829668,2.4,1.3564659966250536
24,9.4,1.7435595774162693,2.6,1.3564659966250538
25,9.8,1.469693845669907,2.8,1.32664991614216
26,10.0,1.6733200530681511,2.8,1.32664991614216
27,10.8,1.5999999999999999,2.8,1.32664991614216
28,10.8,1.5999999999999999,2.8,1.32664991614216
29,11.2,1.32664991614216,2.8,1.32664991614216
30,11.2,1.32664991614216,3.0,1.4142135623730951
31,11.6,1.624807680927192,3.0,1.4142135623730951
32,12.2,1.9390719429665317,3.2,1.469693845669907
33,12.4,1.9595917942265424,3.4,1.2
34,12.8,1.7204650534085253,3.6,1.019803902718557
35,12.8,1.7204650534085253,3.8,0.7483314773547882
36,13.0,1.4142135623730951,4.0,0.8944271909999159
37,13.2,1.469693845669907,4.0,0.8944271909999159
38,13.6,1.8547236990991407,4.0,0.8944271909999159
39,13.6,1.8547236990991407,4.0,0.8944271909999159
40,13.8,2.1354156504062622,4.0,0.8944271909999159
41,14.2,2.315167380558045,4.2,0.9797958971132712
42,14.6,2.727636339397171,4.2,0.9797958971132712
43,14.8,2.481934729198171,4.2,0.9797958971132712
44,15.2,2.7129319932501073,4.2,0.9797958971132712
45,15.4,2.4979991993593593,4.4,1.2
46,16.0,2.0976176963403033,4.4,1.2
47,16.4,2.416609194718914,4.4,1.2
48,16.4,2.416609194718914,4.6,1.3564659966250536
49,16.8,2.7856776554368237,4.6,1.3564659966250536
50,17.0,2.756809750418044,4.6,1.3564659966250536
51,17.4,3.0066592756745814,4.8,1.16619037896906
52,17.6,2.8,4.8,1.16619037896906
53,18.0,3.1622776601683795,5.0,1.4142135623730951
54,18.4,3.006659275674582,5.0,1.4142135623730951
55,18.6,2.9393876913398134,5.2,1.7204650534085253
56,19.0,3.1622776601683795,5.4,1.624807680927192
57,19.4,2.9393876913398134,5.6,1.9595917942265424
58,19.6,2.8,5.8,1.9390719429665317
59,20.0,2.6832815729997477,6.0,2.0
60,20.8,2.315167380558045,6.0,2.0
61,21.2,2.2271057451320084,6.0,2.0
62,21.4,2.244994432064365,6.4,2.0591260281974
63,21.6,2.244994432064365,6.4,2.0591260281974
64,21.6,2.244994432064365,6.8,2.3151673805580453
65,22.0,2.6076809620810595,7.0,2.0
66,22.0,2.6076809620810595,7.0,2.0
67,22.0,2.6076809620810595,7.0,2.0
68,22.2,2.5612496949731396,7.2,2.1354156504062622
69,22.6,2.244994432064365,7.2,2.1354156504062622
70,23.2,2.6381811916545836,7.6,2.3323807579381204
71,23.4,2.727636339397171,8.0,2.280350850198276
72,23.6,2.4166091947189146,8.2,2.3151673805580453
73,23.8,2.481934729198171,8.2,2.3151673805580453
74,23.8,2.481934729198171,8.6,2.5768197453450252
75,23.8,2.481934729198171,8.8,2.315167380558045
76,24.0,2.756809750418044,8.8,2.315167380558045
77,24.8,2.481934729198171,9.0,2.0976176963403033
78,25.0,2.6076809620810595,9.2,1.8330302779823362
79,25.4,2.5768197453450252,9.4,2.0591260281974
80,25.6,2.244994432064365,9.6,1.8547236990991407
81,25.8,2.4,9.8,2.0396078054371136
82,26.2,2.2271057451320084,9.8,2.0396078054371136
83,26.4,2.4166091947189146,9.8,2.0396078054371136
84,26.6,2.65329983228432,9.8,2.0396078054371136
85,27.0,2.756809750418044,10.0,2.280350850198276
86,27.4,2.727636339397171,10.2,2.5612496949731396
87,28.0,2.3664319132398464,10.4,2.727636339397171
88,28.2,2.481934729198171,10.4,2.727636339397171
89,28.4,2.5768197453450252,10.4,2.727636339397171
90,28.8,2.638181191654584,10.6,3.006659275674582
91,29.0,2.756809750418044,10.8,2.993325909419153
92,29.2,2.4,11.0,3.03315017762062
93,29.4,2.0591260281974,11.2,3.1874754901018454
94,29.8,2.1354156504062622,11.4,3.3823069050575527
95,29.8,2.1354156504062622,11.6,3.6110940170535577
96,30.2,2.2271057451320084,11.8,3.4292856398964493
97,30.4,2.3323807579381204,12.4,3.4409301068170506
98,30.4,2.3323807579381204,12.4,3.4409301068170506
99,30.8,2.1354156504062622,12.4,3.4409301068170506
100,31.0,2.280350850198276,12.4,3.4409301068170506
101,31.2,2.4,12.4,3.4409301068170506
102,31.2,2.4,12.6,3.6110940170535577
103,31.4,2.3323807579381204,12.6,3.6110940170535577
104,31.8,2.4819347291981715,12.8,3.8157568056677826
105,32.0,2.5298221281347035,12.8,3.8157568056677826
106,32.4,2.727636339397171,12.8,3.8157568056677826
107,32.6,2.870540018881465,13.0,4.049691346263317
108,32.8,2.9933259094191533,13.0,4.049691346263317
109,33.0,3.1622776601683795,13.0,4.049691346263317
110,33.2,3.249615361854384,13.4,4.498888751680798
111,33.8,3.4871191548325386,13.4,4.498888751680798
112,34.2,3.249615361854384,13.6,4.498888751680798
113,34.6,3.49857113690718,13.8,4.707440918375928
114,34.6,3.49857113690718,14.6,4.923413450036469
115,34.6,3.49857113690718,15.4,4.715930449020639
116,35.0,3.286335345030997,15.4,4.715930449020639
117,35.2,2.925747767665559,15.6,4.923413450036469
118,35.4,2.870540018881465,15.8,4.707440918375928
119,36.0,2.756809750418044,15.8,4.707440918375928
120,36.6,2.727636339397171,15.8,4.707440918375928
121,36.8,2.638181191654584,16.0,4.732863826479693
122,37.2,2.785677655436824,16.0,4.732863826479693
123,37.4,2.8000000000000003,16.2,4.48998886412873
124,37.8,2.925747767665559,16.2,4.48998886412873
125,38.2,3.1874754901018454,16.6,4.498888751680798
126,38.4,3.3823069050575527,17.0,4.560701700396552
127,38.6,3.4409301068170506,17.2,4.578209256903839
128,39.2,3.7629775444453557,17.2,4.578209256903839
129,39.6,4.029888335921977,17.4,4.758150901348127
130,40.0,4.2895221179054435,17.4,4.758150901348127
131,40.4,4.586937976471886,17.6,5.0039984012787215
132,40.6,4.6303347611160905,17.6,5.0039984012787215
133,40.8,4.707440918375927,17.8,5.035871324805669
134,40.8,4.707440918375927,18.0,5.0990195135927845
135,40.8,4.707440918375927,18.2,4.833218389437829
136,41.6,4.673328578219168,18.2,4.833218389437829
137,41.6,4.673328578219168,18.2,4.833218389437829
138,42.2,4.955804677345546,18.2,4.833218389437829
139,42.6,4.673328578219168,18.2,4.833218389437829
140,43.4,4.454211490264018,18.2,4.833218389437829
141,43.8,4.791659420284375,18.2,4.833218389437829
142,43.8,4.791659420284375,18.2,4.833218389437829
143,43.8,4.791659420284375,18.2,4.833218389437829
144,44.2,5.035871324805669,18.4,4.586937976471886
145,44.4,5.043808085167397,18.8,4.915282290977803
146,45.0,5.403702434442518,18.8,4.915282290977803
147,45.2,5.528109984434101,18.8,4.915282290977803
148,45.2,5.528109984434101,19.0,4.69041575982343
149,45.6,5.71314274283428,19.0,4.69041575982343
150,46.0,5.761944116355173,19.2,4.791659420284375
151,46.2,5.381449618829484,19.2,4.791659420284375
152,46.2,5.381449618829484,19.2,4.791659420284375
153,46.6,5.161395160225576,19.4,4.923413450036469
154,46.6,5.161395160225576,19.6,5.083306010855534
155,47.0,4.979959839195493,19.8,4.833218389437829
156,47.2,4.621688003316537,19.8,4.833218389437829
157,47.8,4.791659420284375,19.8,4.833218389437829
158,47.8,4.791659420284375,19.8,4.833218389437829
159,47.8,4.791659420284375,20.0,4.604345773288535
160,48.2,4.3999999999999995,20.0,4.604345773288535
161,48.6,4.454211490264018,20.0,4.604345773288535
162,49.0,4.560701700396552,20.0,4.604345773288535
163,49.4,4.758150901348127,20.0,4.604345773288535
164,49.8,4.955804677345547,20.0,4.604345773288535
165,50.4,4.841487374764082,20.0,4.604345773288535
166,50.6,4.882622246293481,20.2,4.354308211415448
167,50.6,4.882622246293481,20.6,4.363484845854286
168,50.8,4.955804677345547,20.8,4.621688003316537
169,51.0,5.0990195135927845,21.0,4.381780460041329
170,51.0,5.0990195135927845,21.4,4.8
171,51.0,5.0990195135927845,21.6,4.841487374764082
172,51.0,5.0990195135927845,22.2,5.035871324805669
173,51.4,5.314132102234569,22.4,5.2
174,52.0,5.585696017507576,22.4,5.2
175,52.0,5.585696017507576,22.4,5.2
176,52.4,5.238320341483518,22.4,5.2
177,52.6,5.388877434122992,22.6,4.963869458396342
178,52.6,5.388877434122992,22.8,5.230678732248808
179,52.8,5.564171097297422,22.8,5.230678732248808
180,53.0,5.656854249492381,23.2,5.30659966456864
181,53.2,5.706137047074843,23.2,5.30659966456864
182,53.4,5.782732917920384,23.2,5.30659966456864
183,53.8,5.455272678794342,23.2,5.30659966456864
184,54.2,5.635601121442148,23.2,5.30659966456864
185,54.2,5.635601121442148,23.2,5.30659966456864
186,54.6,5.351635264103861,23.2,5.30659966456864
187,55.2,5.192301994298868,23.2,5.30659966456864
188,55.2,5.192301994298868,23.6,5.4258639865002145
189,55.4,4.8,24.0,5.585696017507576
190,55.6,4.923413450036469,24.0,5.585696017507576
191,55.6,4.923413450036469,24.4,5.2
192,56.2,5.2306787322488075,24.4,5.2
193,56.4,5.276362383309167,24.6,5.535341001239218
194,56.4,5.276362383309167,24.8,5.878775382679628
195,57.0,5.549774770204643,25.2,6.177378084592201
196,57.4,5.276362383309167,25.2,6.177378084592201
197,58.0,5.176871642217914,25.2,6.177378084592201
198,58.4,4.841487374764082,25.2,6.177378084592201
199,58.6,5.0039984012787215,25.4,6.151422599691879
200,58.8,4.621688003316537,25.6,6.019966777316964
201,59.0,4.242640687119285,25.6,6.019966777316964
202,59.2,4.3999999999999995,25.6,6.019966777316964
203,59.4,4.586937976471886,25.6,6.019966777316964
204,59.4,4.586937976471886,25.6,6.019966777316964
205,59.6,4.758150901348127,25.6,6.019966777316964
206,59.8,4.955804677345547,25.6,6.019966777316964
207,59.8,4.955804677345547,25.6,6.019966777316964
208,60.2,5.344155686354955,25.6,6.019966777316964
209,60.4,5.314132102234569,25.6,6.019966777316964
210,60.4,5.314132102234569,25.8,6.079473661428265
211,60.6,5.314132102234569,25.8,6.079473661428265
212,60.8,5.30659966456864,25.8,6.079473661428265
213,61.0,5.477225575051661,26.0,6.06630035524124
214,61.2,5.491812087098393,26.0,6.06630035524124
215,61.4,5.6780278266313555,26.2,6.144916598294887
216,61.8,6.046486583132389,26.2,6.144916598294887
217,62.2,6.241794613730894,26.2,6.144916598294887
218,62.2,6.241794613730894,26.2,6.144916598294887
219,62.4,6.468384651518492,26.2,6.144916598294887
220,62.8,6.615134163416491,26.2,6.144916598294887
221,63.4,6.406246951218787,26.2,6.144916598294887
222,63.6,6.590902821313632,26.2,6.144916598294887
223,64.0,6.44980619863884,26.2,6.144916598294887
224,64.2,6.675327707311454,26.6,6.248199740725323
225,64.4,6.6513156593263565,26.8,6.273754856543249
226,64.8,6.794115100585211,27.0,6.131883886702357
227,65.0,6.782329983125268,27.0,6.131883886702357
228,65.4,6.974238309665077,27.0,6.131883886702357
229,65.4,6.974238309665077,27.4,6.3118935352238
230,66.2,6.99714227381436,27.4,6.3118935352238
