game,0
winner,0
game,1
winner,0
game,2
winner,-1
game,3
winner,-1
game,4
winner,1
game,5
winner,0
game,6
winner,1
game,7
winner,1
game,8
winner,-1
game,9
winner,0
game,10
winner,1
game,11
winner,0
game,12
winner,1
game,13
winner,-1
game,14
winner,-1
game,15
winner,1
game,16
winner,-1
game,17
winner,1
game,18
winner,-1
game,19
winner,-1
game,20
winner,0
game,21
winner,1
game,22
winner,0
game,23
winner,1
game,24
winner,0
game,25
winner,1
game,26
winner,0
game,27
winner,-1
game,28
winner,-1
game,29
winner,-1
game,30
winner,0
game,31
winner,0
game,32
winner,-1
game,33
winner,0
game,34
winner,0
game,35
winner,0
game,36
winner,0
game,37
winner,1
game,38
winner,1
game,39
winner,-1
game,40
winner,1
game,41
winner,-1
game,42
winner,-1
game,43
winner,-1
game,44
winner,0
game,45
winner,1
game,46
winner,1
game,47
winner,-1
game,48
winner,0
game,49
winner,1
game,50
winner,-1
game,51
winner,1
game,52
winner,-1
game,53
winner,0
game,54
winner,0
game,55
winner,1
game,56
winner,-1
game,57
winner,-1
game,58
winner,0
game,59
winner,1
game,60
winner,-1
game,61
winner,-1
game,62
winner,0
game,63
winner,0
game,64
winner,0
game,65
winner,-1
game,66
winner,1
game,67
winner,1
game,68
winner,1
game,69
winner,1
game,70
winner,1
game,71
winner,1
game,72
winner,-1
game,73
winner,-1
game,74
winner,-1
game,75
winner,1
game,76
winner,-1
game,77
winner,1
game,78
winner,1
game,79
winner,-1
game,80
winner,0
game,81
winner,1
game,82
winner,1
game,83
winner,0
game,84
winner,0
game,85
winner,0
game,86
winner,0
game,87
winner,-1
game,88
winner,1
game,89
winner,1
game,90
winner,0
game,91
winner,0
game,92
winner,-1
game,93
winner,-1
game,94
winner,1
game,95
winner,0
game,96
winner,0
game,97
winner,0
game,98
winner,-1
game,99
winner,0
