,me_mean,me_std
0,0.2,0.4000000000000001
1,0.0,0.6324555320336759
2,0.2,0.9797958971132713
3,0.4,1.3564659966250538
4,0.4,1.3564659966250538
5,0.6,1.7435595774162693
6,1.0,2.0976176963403033
7,1.2,2.039607805437114
8,1.4,2.4166091947189146
9,1.6,2.8000000000000003
10,2.0,2.6076809620810595
11,2.2,2.4819347291981715
12,2.6,2.3323807579381204
13,3.0,2.6832815729997477
14,3.2,3.059411708155671
15,3.2,3.1240998703626617
16,3.6,3.4985711369071804
17,4.2,3.124099870362662
18,4.4,3.1368774282716245
19,4.6,3.4985711369071804
20,5.0,4.049691346263317
21,5.6,4.223742416388575
22,6.0,4.381780460041329
23,6.2,4.4
24,6.6,4.029888335921977
25,6.8,3.867815921162743
26,6.8,3.867815921162743
27,7.2,3.7094473981982814
28,7.2,3.1874754901018454
29,7.6,3.4985711369071804
30,7.6,3.3823069050575527
31,7.6,3.3823069050575527
32,7.8,3.3105890714493698
33,8.2,3.1874754901018454
34,8.2,3.1874754901018454
35,8.6,3.0724582991474434
36,9.0,3.286335345030997
37,9.0,3.40587727318528
38,9.4,3.826225293941799
39,9.0,4.049691346263317
40,9.2,3.9698866482558417
41,9.8,4.354308211415448
42,9.8,4.261455150532504
43,10.2,4.4
44,10.2,4.4
45,10.2,4.4
46,10.4,4.2708313008125245
47,10.4,4.2708313008125245
48,11.0,4.049691346263317
49,11.4,4.498888751680798
50,11.4,4.586937976471886
51,11.6,4.409081537009721
52,12.0,4.47213595499958
53,12.0,4.47213595499958
54,12.2,4.354308211415448
55,12.8,4.578209256903839
56,13.0,4.33589667773576
57,13.2,4.707440918375928
58,13.8,4.578209256903839
59,13.8,4.578209256903839
60,13.8,4.578209256903839
61,14.0,4.33589667773576
62,13.8,4.578209256903839
63,14.0,4.516635916254486
64,14.0,4.516635916254486
65,14.2,4.534313619501853
66,14.4,4.2708313008125245
67,14.6,4.6303347611160905
68,14.8,4.4
69,15.0,4.427188724235731
70,15.2,4.354308211415448
71,15.6,4.317406628984581
72,15.6,4.317406628984581
73,15.6,4.317406628984581
74,15.8,4.66476151587624
75,16.0,4.427188724235731
76,16.6,4.6303347611160905
77,16.4,4.882622246293481
78,16.6,4.841487374764082
79,16.8,4.915282290977803
80,17.2,4.791659420284375
81,17.4,4.6303347611160905
82,17.8,4.915282290977803
83,17.8,5.1536394906900505
84,17.8,5.1536394906900505
85,17.8,4.915282290977803
86,17.8,4.915282290977803
87,18.2,5.344155686354955
88,18.4,5.6780278266313555
89,18.2,5.844655678480984
90,18.2,5.844655678480984
91,18.2,5.844655678480984
92,18.4,5.642694391866353
93,18.8,6.079473661428266
94,19.2,6.523802572120037
95,19.4,6.8585712797928995
96,19.8,6.49307323229917
97,20.0,6.324555320336759
98,20.2,6.1773780845922
99,20.4,6.2801273872430325
100,20.6,6.406246951218787
101,20.8,6.305553108173779
102,21.0,6.164414002968976
103,21.2,6.305553108173779
104,21.6,6.406246951218787
105,21.8,7.0823724838503095
106,22.0,6.985699678629192
107,22.2,6.764613810115105
108,22.6,6.56048778674269
109,23.0,6.723094525588644
110,23.0,6.723094525588644
111,23.6,6.499230723708768
112,23.8,6.43117407632541
113,24.0,6.164414002968976
114,24.0,6.164414002968976
115,24.4,6.406246951218787
116,24.4,6.406246951218787
117,24.6,6.374950980203691
118,25.2,6.4
119,25.6,6.374950980203691
120,25.2,6.4
121,25.2,6.4
122,25.6,6.2801273872430325
123,25.6,6.2801273872430325
124,25.6,6.2801273872430325
125,26.0,6.356099432828281
126,26.2,6.177378084592201
127,26.2,6.04648658313239
128,26.4,5.885575587824865
129,26.6,6.216108107168021
130,26.6,6.216108107168021
131,27.0,6.06630035524124
132,27.4,6.151422599691879
133,27.2,6.079473661428265
134,27.2,6.079473661428265
135,27.6,5.986651818838306
136,28.2,6.4
137,28.4,6.118823416311342
138,28.4,6.118823416311342
139,28.8,6.493073232299171
140,29.0,6.81175454637056
141,29.0,6.81175454637056
142,29.2,6.8527366796047255
143,29.2,6.8527366796047255
144,29.4,6.916646586316233
145,29.4,6.916646586316233
146,29.6,7.227724399837061
147,29.6,7.227724399837061
148,29.6,7.227724399837061
149,29.6,6.916646586316233
150,29.6,6.916646586316233
151,30.0,7.293833011524188
152,30.0,7.293833011524188
153,30.2,7.05407683541936
154,30.4,6.829348431585549
155,30.4,6.829348431585549
156,30.6,7.1442284397967
157,30.6,7.1442284397967
158,30.6,7.1442284397967
159,30.8,6.675327707311454
160,31.0,6.985699678629192
161,31.2,7.0823724838503095
162,31.4,6.858571279792899
163,31.2,7.0823724838503095
164,31.4,7.631513611335565
165,31.4,8.16333265278342
166,31.6,7.939773296511683
167,31.6,7.939773296511683
168,31.8,7.984985911070851
169,31.8,8.23164625090267
170,32.0,8.555699854482976
171,32.4,8.404760555780276
172,32.6,8.187795796183488
173,32.8,8.255906976220118
174,33.2,8.084553172563094
175,33.2,8.084553172563094
176,33.4,8.404760555780278
177,34.0,8.579044235810887
178,34.2,8.611620056644394
179,34.4,8.685620300243386
180,34.4,8.685620300243386
181,34.2,8.908422980528035
182,34.4,8.957678270623477
183,34.4,8.957678270623477
184,34.4,9.264987857520376
185,34.2,8.657944328765346
186,34.2,8.657944328765346
187,34.6,9.046546302318914
188,35.0,8.87693640846886
189,35.2,8.975522268926749
190,35.2,8.975522268926749
191,35.4,9.264987857520376
192,35.4,9.264987857520376
193,35.4,9.28654941299512
194,35.4,9.28654941299512
195,35.2,9.19565114605812
196,35.2,9.19565114605812
197,35.2,9.19565114605812
198,35.2,9.19565114605812
199,35.4,9.499473669630333
200,35.4,10.011992808627062
201,35.4,9.728309205612247
202,35.6,10.05186549850325
203,35.8,9.846826900072937
204,35.8,9.846826900072937
205,35.8,9.846826900072937
206,36.0,9.899494936611665
207,36.4,9.76933979345585
208,36.4,9.76933979345585
209,36.4,9.76933979345585
210,36.4,9.76933979345585
211,36.8,9.620810776644554
212,36.8,9.130169768410662
213,37.0,9.186947262284681
214,37.0,9.186947262284681
215,37.2,9.260669522232181
216,37.4,9.810198774744578
217,37.4,9.810198774744578
218,38.0,9.674709297958259
219,37.8,9.368030742904295
220,37.8,8.565045242145542
221,38.4,8.777243302996677
222,38.8,9.173875952943773
223,38.8,9.173875952943773
224,39.0,8.921883209278185
225,38.8,9.173875952943773
226,38.8,9.173875952943773
227,38.8,9.173875952943773
228,38.8,8.704022058795578
229,38.8,8.704022058795578
230,38.8,8.704022058795578
231,38.8,8.704022058795578
232,39.2,8.280096617793781
233,39.4,8.380930735902785
234,39.8,8.255906976220118
235,40.2,8.158431221748454
236,40.8,7.833262411026455
237,40.6,7.812809993849845
238,40.8,8.304215796810677
239,40.8,8.908422980528034
240,41.0,9.011104260855047
241,41.0,9.252026804976301
242,41.0,9.252026804976301
243,41.2,9.19565114605812
244,41.4,9.200000000000001
245,41.4,9.200000000000001
246,42.0,9.252026804976301
247,42.4,9.478396488858229
248,42.2,9.495261976375375
249,42.2,9.495261976375375
250,42.6,9.13454979733539
251,42.6,9.13454979733539
252,42.6,9.156418513807678
253,42.8,9.453041838477178
254,43.0,9.549869109050658
255,43.6,9.58331884056875
256,43.6,9.58331884056875
257,43.4,9.911609354691095
258,43.2,9.641576634555161
259,43.4,9.308061022576078
260,43.8,9.431860898041277
261,44.0,9.695359714832659
262,44.0,9.695359714832659
263,44.2,9.641576634555161
264,44.8,9.579144011862438
265,44.8,9.579144011862438
266,44.8,9.867117106835208
267,44.8,10.146920715172657
268,44.6,10.091580649234292
269,44.6,10.05186549850325
270,45.0,9.818350166906862
271,44.8,9.846826900072937
272,44.8,9.846826900072937
273,45.0,10.13903348450926
274,44.8,10.457533169921097
275,45.0,10.430723848324238
276,45.4,10.403845442911962
