start time,1632908804.270823
times of actions,"[[0, 0.0029990673065185547], [1, 0.12800884246826172], [0, 0.0060024261474609375], [1, 0.14800047874450684], [0, 0.004998445510864258], [1, 0.2139911651611328], [0, 0.006001472473144531], [1, 0.21904325485229492], [0, 0.0050008296966552734], [1, 0.23599672317504883], [0, 0.005852937698364258], [1, 0.22899746894836426], [0, 0.005002737045288086], [1, 0.24700045585632324], [0, 0.004999637603759766], [1, 0.31599903106689453], [0, 0.004998683929443359], [1, 0.39504051208496094], [0, 0.003710031509399414], [1, 0.39304518699645996], [0, 0.0039997100830078125], [1, 0.37399935722351074], [0, 0.004000186920166016], [1, 0.43999743461608887], [0, 0.0060007572174072266], [1, 0.3980426788330078], [0, 0.0049991607666015625], [1, 0.25999903678894043]]"
winner,blue
game,12
iterations,22
times of actions,"[[0, 0.0029685497283935547], [1, 0.20424509048461914], [0, 0.003962993621826172], [1, 0.38500380516052246], [0, 0.005999565124511719], [1, 0.6880385875701904], [0, 0.006001472473144531], [1, 0.6090421676635742], [0, 0.0050008296966552734], [1, 0.5980284214019775], [0, 0.0060007572174072266], [1, 0.5930595397949219], [0, 0.004999637603759766], [1, 0.5659985542297363], [0, 0.0049991607666015625], [1, 0.5309972763061523], [0, 0.006960630416870117], [1, 0.534963846206665], [0, 0.005999565124511719], [1, 0.3770022392272949], [0, 0.004999399185180664], [1, 0.2999992370605469]]"
winner,blue
game,13
iterations,22
times of actions,"[[0, 0.0029916763305664062], [1, 0.24700284004211426], [0, 0.005005359649658203], [1, 0.2540092468261719], [0, 0.004998922348022461], [1, 0.24199914932250977], [0, 0.0050008296966552734], [1, 0.2700059413909912], [0, 0.005002737045288086], [1, 0.3229963779449463], [0, 0.005000114440917969], [1, 0.6060419082641602], [0, 0.010048151016235352], [1, 0.603041410446167], [0, 0.00999903678894043], [1, 0.5569972991943359], [0, 0.006000041961669922], [1, 0.45400357246398926], [0, 0.005160331726074219], [1, 0.4219546318054199], [0, 0.005947113037109375], [1, 0.28999757766723633]]"
winner,blue
game,14
iterations,22
