start time,1631469037.5784643
winner,none
game,54
iterations,25
times of actions,"[[0, 1.2850091457366943], [1, 1.52604341506958], [0, 1.8550386428833008], [1, 1.871997594833374], [0, 1.9340362548828125], [1, 1.9200444221496582], [0, 1.9049949645996094], [1, 1.94203519821167], [0, 2.057004451751709], [1, 1.9820401668548584], [0, 1.9300358295440674], [1, 1.9306252002716064], [0, 1.9600498676300049], [1, 2.006016254425049], [0, 2.0780441761016846], [1, 2.192003011703491], [0, 2.6209962368011475], [1, 2.4510552883148193], [0, 2.5129988193511963], [1, 2.5279998779296875], [0, 2.574038028717041], [1, 2.4470901489257812], [0, 2.6049606800079346], [1, 2.50103759765625], [0, 2.461003303527832], [1, 2.4610135555267334]]"
winner,none
game,55
iterations,37
times of actions,"[[0, 1.8850274085998535], [1, 1.8869922161102295], [0, 1.914959192276001], [1, 2.0470027923583984], [0, 1.9449594020843506], [1, 1.9389641284942627], [0, 1.951145887374878], [1, 1.9389870166778564], [0, 2.008957624435425], [1, 1.9719538688659668], [0, 2.1429569721221924], [1, 2.3699686527252197], [0, 2.474055767059326], [1, 3.5933399200439453], [0, 4.138964414596558], [1, 3.5430121421813965], [0, 4.3289642333984375], [1, 3.5709962844848633], [0, 4.246948003768921], [1, 3.6199522018432617], [0, 4.380964517593384], [1, 3.602001667022705], [0, 4.1690027713775635], [1, 3.6239588260650635], [0, 4.3479602336883545], [1, 3.600004196166992], [0, 4.093955993652344], [1, 3.708951473236084], [0, 4.272022247314453], [1, 3.4580087661743164], [0, 3.8289456367492676], [1, 2.8499515056610107], [0, 3.6699469089508057], [1, 2.8780035972595215], [0, 3.2879912853240967], [1, 2.8469672203063965], [0, 3.3050014972686768], [1, 2.9149985313415527]]"
winner,none
game,56
iterations,27
times of actions,"[[0, 1.9018516540527344], [1, 1.949878454208374], [0, 1.9459998607635498], [1, 1.943047046661377], [0, 2.0119879245758057], [1, 2.0500128269195557], [0, 2.3899526596069336], [1, 3.6550452709198], [0, 4.4299938678741455], [1, 3.5020108222961426], [0, 4.363000392913818], [1, 3.7169976234436035], [0, 4.396519422531128], [1, 3.426039695739746], [0, 4.365998983383179], [1, 3.5750396251678467], [0, 4.429996490478516], [1, 3.1920454502105713], [0, 4.084056377410889], [1, 2.651001453399658], [0, 3.2289469242095947], [1, 2.4059665203094482], [0, 2.4890058040618896], [1, 1.846041202545166], [0, 2.4810144901275635], [1, 2.2433767318725586], [0, 2.7810068130493164]]"
winner,red
game,57
iterations,79
times of actions,"[[0, 1.0477266311645508], [1, 0.9833035469055176], [0, 1.7330007553100586], [1, 1.637986660003662], [0, 1.9470078945159912], [1, 1.9060006141662598], [0, 1.981966495513916], [1, 2.170001983642578], [0, 1.9540367126464844], [1, 2.034003257751465], [0, 2.131988286972046], [1, 2.413964033126831], [0, 3.516005039215088], [1, 4.3240251541137695], [0, 3.579996347427368], [1, 4.120015859603882], [0, 3.578925848007202], [1, 4.38204288482666], [0, 3.6079654693603516], [1, 4.220497369766235], [0, 3.6129562854766846], [1, 4.371997356414795], [0, 3.632042646408081], [1, 4.119024276733398], [0, 3.582047939300537], [1, 4.199005365371704], [0, 3.6049978733062744], [1, 4.185043811798096], [0, 3.488996982574463], [1, 4.584823369979858], [0, 3.4119622707366943], [1, 4.1809844970703125], [0, 3.4689624309539795], [1, 4.201007127761841], [0, 3.468003273010254], [1, 4.129004001617432], [0, 4.322999477386475], [1, 3.4310128688812256], [0, 4.407996416091919], [1, 3.3680150508880615], [0, 4.350008964538574], [1, 3.4188852310180664], [0, 4.45504093170166], [1, 3.3409483432769775], [0, 4.34300422668457], [1, 3.301016092300415], [0, 4.41996169090271], [1, 3.238964557647705], [0, 4.343005180358887], [1, 3.358003854751587], [0, 4.5662970542907715], [1, 3.227957010269165], [0, 3.5176126956939697], [1, 2.6059069633483887], [0, 4.489403247833252], [1, 3.1769657135009766], [0, 4.193974256515503], [1, 3.0769689083099365], [0, 4.137962579727173], [1, 2.8300387859344482], [0, 3.436999797821045], [1, 2.2459847927093506], [0, 3.581000804901123], [1, 2.447003126144409], [0, 4.1839659214019775], [1, 3.2989957332611084], [0, 4.006998777389526], [1, 3.4799678325653076], [0, 4.262944221496582], [1, 3.7119505405426025], [0, 4.16595983505249], [1, 3.5619678497314453], [0, 4.394999265670776], [1, 3.5449633598327637], [0, 4.194997549057007], [1, 3.53796648979187], [0, 4.606003046035767], [1, 3.442009687423706], [0, 4.243029832839966], [1, 3.525995969772339]]"
winner,none
game,58
iterations,20
times of actions,"[[0, 0.5570333003997803], [1, 0.8877284526824951], [0, 1.4767954349517822], [1, 1.6110312938690186], [0, 1.8759961128234863], [1, 1.8609631061553955], [0, 1.9289536476135254], [1, 1.9549531936645508], [0, 2.030001640319824], [1, 2.107055187225342], [0, 2.605955123901367], [1, 2.455949544906616], [0, 2.4650537967681885], [1, 2.551039218902588], [0, 2.5659661293029785], [1, 2.456007480621338], [0, 2.5929410457611084], [1, 2.489964723587036], [0, 2.4595353603363037], [1, 2.465057849884033], [0, 2.4330527782440186]]"
winner,none
game,59
iterations,30
times of actions,"[[0, 1.837036371231079], [1, 1.9320039749145508], [0, 1.980043649673462], [1, 1.9470410346984863], [0, 1.9320528507232666], [1, 1.9840342998504639], [0, 1.9300034046173096], [1, 2.0810580253601074], [0, 2.0890040397644043], [1, 2.4620025157928467], [0, 3.554018259048462], [1, 4.399044752120972], [0, 3.4760406017303467], [1, 4.2890050411224365], [0, 3.673007011413574], [1, 4.326042413711548], [0, 3.3530380725860596], [1, 4.393033981323242], [0, 3.838040351867676], [1, 4.581007719039917], [0, 3.116001844406128], [1, 4.042039632797241], [0, 2.580045461654663], [1, 3.1310415267944336], [0, 2.305002212524414], [1, 2.4790422916412354], [0, 1.797003984451294], [1, 2.46803879737854], [0, 2.1220052242279053], [1, 2.831010580062866]]"
winner,blue
game,60
iterations,23
times of actions,"[[0, 2.2078466415405273], [1, 2.887965202331543], [0, 4.390959024429321], [1, 3.489945411682129], [0, 4.6619157791137695], [1, 3.3949592113494873], [0, 4.47599720954895], [1, 3.5999956130981445], [0, 4.468005180358887], [1, 3.3219552040100098], [0, 4.212995290756226], [1, 3.2489497661590576], [0, 3.345998764038086], [1, 1.8569564819335938], [0, 2.6949656009674072], [1, 1.8289947509765625], [0, 3.0190603733062744], [1, 1.994999647140503], [0, 2.989048957824707], [1, 2.3330039978027344], [0, 2.925060272216797], [1, 2.1100013256073], [0, 2.748042345046997]]"
winner,red
game,61
iterations,23
times of actions,"[[0, 1.4211905002593994], [1, 1.8579308986663818], [0, 1.8560409545898438], [1, 1.9329955577850342], [0, 1.9389963150024414], [1, 1.9672081470489502], [0, 1.9230153560638428], [1, 1.9250547885894775], [0, 1.9260013103485107], [1, 2.0970401763916016], [0, 2.0860397815704346], [1, 1.9720382690429688], [0, 1.9950428009033203], [1, 2.016002893447876], [0, 2.1060550212860107], [1, 2.0950441360473633], [0, 2.205998659133911], [1, 2.6850521564483643], [0, 2.4650540351867676], [1, 2.558997392654419], [0, 2.4570398330688477], [1, 2.459041118621826], [0, 2.490004062652588], [1, 2.6813840866088867]]"
winner,none
game,62
iterations,70
times of actions,"[[0, 1.9602155685424805], [1, 2.059039354324341], [0, 2.1160428524017334], [1, 2.4280428886413574], [0, 3.471050977706909], [1, 4.441004991531372], [0, 3.5110023021698], [1, 4.213042736053467], [0, 3.6800038814544678], [1, 4.356037378311157], [0, 3.600001811981201], [1, 4.292044401168823], [0, 3.611997365951538], [1, 4.414042234420776], [0, 3.6320419311523438], [1, 4.195518255233765], [0, 3.794083595275879], [1, 4.371042251586914], [0, 3.6000466346740723], [1, 4.179045915603638], [0, 3.6220414638519287], [1, 4.4140424728393555], [0, 3.4990220069885254], [1, 4.290042400360107], [0, 3.4090569019317627], [1, 4.406042098999023], [0, 2.9330389499664307], [1, 3.4030539989471436], [0, 3.3350412845611572], [1, 3.0560383796691895], [0, 3.43400239944458], [1, 4.196039199829102], [0, 3.358041286468506], [1, 4.3279876708984375], [0, 3.5170929431915283], [1, 4.295042514801025], [0, 3.2970426082611084], [1, 4.305042028427124], [0, 3.4589993953704834], [1, 4.413158178329468], [0, 3.3619847297668457], [1, 4.326990604400635], [0, 3.5400471687316895], [1, 4.351011276245117], [0, 3.3309478759765625], [1, 4.430994749069214], [0, 3.699108123779297], [1, 4.328600168228149], [0, 3.694962739944458], [1, 4.020040988922119], [0, 3.573007106781006], [1, 4.151009559631348], [0, 3.04899525642395], [1, 4.314959287643433], [0, 3.9460010528564453], [1, 4.109962463378906], [0, 3.230970621109009], [1, 4.075001001358032], [0, 3.247995615005493], [1, 4.266990423202515], [0, 3.258962631225586], [1, 4.088041067123413], [0, 3.2369978427886963], [1, 4.199948310852051], [0, 3.2440004348754883], [1, 4.04601788520813], [0, 3.206958293914795], [1, 4.375041246414185], [0, 3.088003396987915], [1, 4.62096643447876], [0, 3.7259650230407715]]"
winner,none
game,63
iterations,29
times of actions,"[[0, 2.126720428466797], [1, 2.1129677295684814], [0, 2.4280004501342773], [1, 3.4380016326904297], [0, 4.222052812576294], [1, 3.6340465545654297], [0, 4.291043758392334], [1, 3.5860393047332764], [0, 4.133039474487305], [1, 3.5760042667388916], [0, 4.300977468490601], [1, 3.586003303527832], [0, 4.129001617431641], [1, 3.535776376724243], [0, 4.404024839401245], [1, 4.20700478553772], [0, 4.147516489028931], [1, 3.6300389766693115], [0, 4.2889955043792725], [1, 3.57004714012146], [0, 4.080053329467773], [1, 3.404998779296875], [0, 4.066998243331909], [1, 2.8710553646087646], [0, 3.455050468444824], [1, 2.8820457458496094], [0, 3.3800036907196045], [1, 2.9690518379211426], [0, 3.346008062362671], [1, 2.885962724685669]]"
winner,none
game,64
iterations,25
times of actions,"[[0, 1.956228494644165], [1, 1.9170234203338623], [0, 2.048995018005371], [1, 2.0650131702423096], [0, 2.118004083633423], [1, 2.328040838241577], [0, 2.4070467948913574], [1, 3.4920034408569336], [0, 4.600538969039917], [1, 3.5120389461517334], [0, 4.395055055618286], [1, 3.429009199142456], [0, 4.626586198806763], [1, 3.5490312576293945], [0, 4.371054410934448], [1, 3.3590452671051025], [0, 4.62399697303772], [1, 3.3490467071533203], [0, 4.317039966583252], [1, 2.9854495525360107], [0, 4.3729612827301025], [1, 2.843998670578003], [0, 3.9820361137390137], [1, 2.5490434169769287], [0, 3.641956329345703]]"
winner,red
game,65
iterations,14
times of actions,"[[0, 1.0497844219207764], [1, 2.1990411281585693], [0, 2.94600510597229], [1, 4.43604040145874], [0, 3.3369994163513184], [1, 4.631047487258911], [0, 3.342052459716797], [1, 4.727982044219971], [0, 3.9056396484375], [1, 4.869043588638306], [0, 3.2319984436035156], [1, 4.225979804992676], [0, 2.44504451751709], [1, 3.320044994354248]]"
winner,blue
game,66
iterations,73
times of actions,"[[0, 1.9575481414794922], [1, 1.989964246749878], [0, 1.993966817855835], [1, 2.0829532146453857], [0, 2.1019859313964844], [1, 2.4289684295654297], [0, 3.7799272537231445], [1, 4.263977289199829], [0, 3.6810426712036133], [1, 4.231999635696411], [0, 3.801988124847412], [1, 4.183965444564819], [0, 3.5859954357147217], [1, 4.159021377563477], [0, 3.8310294151306152], [1, 4.266010761260986], [0, 3.643963098526001], [1, 4.248040199279785], [0, 3.8109586238861084], [1, 4.093014717102051], [0, 3.5739850997924805], [1, 4.151966094970703], [0, 3.659994602203369], [1, 4.275946378707886], [0, 3.3680689334869385], [1, 4.097009658813477], [0, 3.4789955615997314], [1, 4.20200252532959], [0, 3.4450385570526123], [1, 4.037999868392944], [0, 4.3475823402404785], [1, 3.471994161605835], [0, 4.284946918487549], [1, 3.3269481658935547], [0, 4.289948225021362], [1, 3.506006956100464], [0, 4.284938097000122], [1, 3.2859573364257812], [0, 4.318956136703491], [1, 3.5009639263153076], [0, 4.2209601402282715], [1, 3.210979461669922], [0, 4.3299479484558105], [1, 3.488010883331299], [0, 4.3189473152160645], [1, 3.2275705337524414], [0, 3.433955669403076], [1, 2.5719690322875977], [0, 4.521037817001343], [1, 3.181999683380127], [0, 4.232040166854858], [1, 3.026956558227539], [0, 4.256004571914673], [1, 2.686957359313965], [0, 3.350959539413452], [1, 2.253994941711426], [0, 3.5840065479278564], [1, 2.657958984375], [0, 4.026007652282715], [1, 3.305968999862671], [0, 4.033965826034546], [1, 3.6549949645996094], [0, 4.217000246047974], [1, 3.587000846862793], [0, 4.169964790344238], [1, 3.7249600887298584], [0, 4.229994773864746], [1, 3.538022994995117], [0, 4.203953266143799], [1, 3.5529863834381104], [0, 4.601036787033081], [1, 3.4879467487335205], [0, 4.389955043792725], [1, 3.628006935119629]]"
winner,none
game,67
iterations,34
times of actions,"[[0, 0.9329729080200195], [1, 1.7460031509399414], [0, 1.616960048675537], [1, 1.9559686183929443], [0, 1.9129958152770996], [1, 1.9760024547576904], [0, 1.9640026092529297], [1, 2.025001287460327], [0, 2.2609658241271973], [1, 2.3749799728393555], [0, 3.3669495582580566], [1, 4.333956003189087], [0, 3.4670231342315674], [1, 4.551955223083496], [0, 3.406954288482666], [1, 4.367954254150391], [0, 3.363954782485962], [1, 4.664998292922974], [0, 3.3359487056732178], [1, 4.419014930725098], [0, 3.248004198074341], [1, 4.435017347335815], [0, 2.938950300216675], [1, 3.261000156402588], [0, 1.8219454288482666], [1, 3.093003749847412], [0, 2.005009174346924], [1, 2.983001232147217], [0, 2.1920056343078613], [1, 3.4649577140808105], [0, 2.3760194778442383], [1, 2.636949300765991], [0, 1.6889605522155762], [1, 2.707995891571045]]"
winner,blue
game,68
iterations,13
times of actions,"[[0, 1.9019060134887695], [1, 1.9290492534637451], [0, 1.9890315532684326], [1, 1.9730415344238281], [0, 2.0050530433654785], [1, 2.06500506401062], [0, 2.431042194366455], [1, 2.4430036544799805], [0, 2.450042963027954], [1, 2.566040515899658], [0, 2.423050880432129], [1, 2.48498797416687], [0, 2.6499648094177246], [1, 2.4979965686798096]]"
winner,none
game,69
iterations,20
times of actions,"[[0, 1.909686803817749], [1, 1.912841558456421], [0, 1.9440088272094727], [1, 1.946007490158081], [0, 1.9720406532287598], [1, 2.127004623413086], [0, 1.992948293685913], [1, 1.9669597148895264], [0, 1.9889659881591797], [1, 2.054962396621704], [0, 2.203001022338867], [1, 2.446988821029663], [0, 2.5639681816101074], [1, 2.625997304916382], [0, 2.5000102519989014], [1, 2.444936513900757], [0, 2.4289934635162354], [1, 2.463963747024536], [0, 2.461000919342041], [1, 2.629962921142578], [0, 2.452956438064575]]"
winner,none
game,70
iterations,21
times of actions,"[[0, 2.4349870681762695], [1, 3.424039363861084], [0, 4.451034784317017], [1, 3.5970587730407715], [0, 4.467997312545776], [1, 3.436044216156006], [0, 4.533040285110474], [1, 3.609004020690918], [0, 4.424052953720093], [1, 3.238053798675537], [0, 4.134018659591675], [1, 2.6060469150543213], [0, 3.347062349319458], [1, 2.256993293762207], [0, 3.132002830505371], [1, 2.2000033855438232], [0, 2.5430452823638916], [1, 1.8940386772155762], [0, 2.413003921508789], [1, 1.4440038204193115], [0, 2.0900392532348633]]"
winner,red
game,71
iterations,17
times of actions,"[[0, 1.8921899795532227], [1, 1.9649906158447266], [0, 1.974008321762085], [1, 2.1170027256011963], [0, 1.9968974590301514], [1, 1.932697057723999], [0, 2.0239598751068115], [1, 1.989969253540039], [0, 1.9370169639587402], [1, 2.128037691116333], [0, 2.100965738296509], [1, 2.3900530338287354], [0, 2.446979284286499], [1, 2.469965934753418], [0, 2.478001356124878], [1, 2.4110047817230225], [0, 2.4569971561431885], [1, 2.535994529724121]]"
winner,none
game,72
iterations,26
times of actions,"[[0, 2.00996470451355], [1, 2.391483783721924], [0, 3.372008800506592], [1, 4.387976169586182], [0, 3.5410053730010986], [1, 4.384003639221191], [0, 3.3710439205169678], [1, 4.335944652557373], [0, 3.494990348815918], [1, 4.397830486297607], [0, 3.283036947250366], [1, 4.18096137046814], [0, 3.1050195693969727], [1, 4.270991325378418], [0, 2.780999183654785], [1, 3.13396954536438], [0, 2.121985912322998], [1, 3.8549561500549316], [0, 3.0048491954803467], [1, 3.1310009956359863], [0, 2.2719969749450684], [1, 3.0219311714172363], [0, 1.9729962348937988], [1, 3.0440101623535156], [0, 1.683941125869751], [1, 2.6000163555145264]]"
winner,blue
game,73
iterations,34
times of actions,"[[0, 1.3779661655426025], [1, 1.6180050373077393], [0, 1.8840138912200928], [1, 1.8579585552215576], [0, 1.929957389831543], [1, 2.125965118408203], [0, 1.9599881172180176], [1, 2.0080084800720215], [0, 2.0489578247070312], [1, 2.3549644947052], [0, 3.3859946727752686], [1, 4.4641876220703125], [0, 3.452038288116455], [1, 4.29900336265564], [0, 3.2950377464294434], [1, 4.492005348205566], [0, 3.33504056930542], [1, 4.386041879653931], [0, 3.313042163848877], [1, 4.572004795074463], [0, 3.3510396480560303], [1, 4.251982688903809], [0, 3.0419979095458984], [1, 3.2940008640289307], [0, 1.9060471057891846], [1, 3.198986768722534], [0, 1.8440544605255127], [1, 2.9200427532196045], [0, 2.1770448684692383], [1, 3.4806904792785645], [0, 2.56510329246521], [1, 2.648043394088745], [0, 1.6630527973175049], [1, 2.5260183811187744]]"
winner,blue
game,74
iterations,77
times of actions,"[[0, 1.7218189239501953], [1, 1.609025239944458], [0, 1.9050281047821045], [1, 1.8900010585784912], [0, 2.1099963188171387], [1, 1.9590017795562744], [0, 1.930997610092163], [1, 1.9910428524017334], [0, 2.0760602951049805], [1, 2.355048894882202], [0, 3.585049629211426], [1, 4.278046607971191], [0, 3.560044050216675], [1, 4.102998495101929], [0, 3.563002347946167], [1, 4.345043182373047], [0, 3.564044713973999], [1, 4.152045249938965], [0, 3.568054437637329], [1, 4.360044956207275], [0, 3.604041337966919], [1, 4.1300413608551025], [0, 3.6050002574920654], [1, 4.247599840164185], [0, 3.5610389709472656], [1, 4.0759992599487305], [0, 3.509042739868164], [1, 4.454046964645386], [0, 3.5490424633026123], [1, 4.230003833770752], [0, 3.4980390071868896], [1, 4.190056085586548], [0, 3.4489996433258057], [1, 4.026040554046631], [0, 4.230005264282227], [1, 3.5129952430725098], [0, 4.296023845672607], [1, 3.375042200088501], [0, 4.345063924789429], [1, 3.534041166305542], [0, 4.329057693481445], [1, 3.3210437297821045], [0, 4.318071603775024], [1, 3.5050439834594727], [0, 4.256042003631592], [1, 3.2370545864105225], [0, 4.406070232391357], [1, 3.501004457473755], [0, 4.4180450439453125], [1, 3.2149600982666016], [0, 3.4710559844970703], [1, 2.587040901184082], [0, 4.6070427894592285], [1, 3.196047306060791], [0, 4.283044338226318], [1, 3.1070363521575928], [0, 4.31504225730896], [1, 2.700056552886963], [0, 3.4060444831848145], [1, 2.2639997005462646], [0, 3.7230570316314697], [1, 2.6489996910095215], [0, 4.105999231338501], [1, 3.3340580463409424], [0, 4.059053421020508], [1, 3.5290019512176514], [0, 4.294055461883545], [1, 3.567997455596924], [0, 4.208045721054077], [1, 3.6140432357788086], [0, 4.37803316116333], [1, 3.598806142807007], [0, 4.267671585083008], [1, 3.6170051097869873], [0, 4.671999454498291], [1, 3.528043031692505], [0, 4.273000478744507], [1, 3.6450047492980957]]"
winner,none
game,75
iterations,33
times of actions,"[[0, 1.8811736106872559], [1, 1.9869472980499268], [0, 2.001972198486328], [1, 1.9699652194976807], [0, 2.0529990196228027], [1, 2.024946451187134], [0, 2.108956813812256], [1, 2.398956298828125], [0, 2.481053352355957], [1, 3.6229515075683594], [0, 4.243000745773315], [1, 3.679952621459961], [0, 4.402966737747192], [1, 3.6339614391326904], [0, 4.190971374511719], [1, 3.6790363788604736], [0, 4.403054475784302], [1, 3.669961452484131], [0, 4.260993480682373], [1, 3.5829501152038574], [0, 4.396953821182251], [1, 3.6330459117889404], [0, 4.1680004596710205], [1, 3.6450417041778564], [0, 4.322960376739502], [1, 3.468961715698242], [0, 3.899044990539551], [1, 2.8409600257873535], [0, 3.6869571208953857], [1, 2.879009485244751], [0, 3.465996742248535], [1, 3.0830395221710205], [0, 3.396962881088257], [1, 2.9940567016601562]]"
winner,none
game,76
iterations,18
times of actions,"[[0, 0.8111467361450195], [1, 1.3750042915344238], [0, 1.5970032215118408], [1, 1.9020373821258545], [0, 1.8609192371368408], [1, 1.9019999504089355], [0, 1.9068989753723145], [1, 2.020998239517212], [0, 2.0540387630462646], [1, 1.9360437393188477], [0, 1.9530043601989746], [1, 1.967033863067627], [0, 2.002049446105957], [1, 2.0870003700256348], [0, 2.224043846130371], [1, 2.6300432682037354], [0, 2.456040859222412], [1, 2.444039821624756], [0, 2.459041118621826]]"
winner,none
game,77
iterations,32
times of actions,"[[0, 0.6631989479064941], [1, 0.960355281829834], [0, 1.6346845626831055], [1, 1.6420354843139648], [0, 2.0610032081604004], [1, 1.9270029067993164], [0, 1.9610481262207031], [1, 1.952061414718628], [0, 1.9630427360534668], [1, 2.0079989433288574], [0, 2.074002504348755], [1, 2.383002996444702], [0, 3.5805623531341553], [1, 4.36002779006958], [0, 3.468045234680176], [1, 4.274956703186035], [0, 3.6669979095458984], [1, 4.375046014785767], [0, 3.410039186477661], [1, 4.399042367935181], [0, 3.5440475940704346], [1, 4.440988779067993], [0, 3.140042304992676], [1, 3.9960415363311768], [0, 2.532040596008301], [1, 3.1450464725494385], [0, 2.308990955352783], [1, 2.4520046710968018], [0, 1.7880020141601562], [1, 2.447038412094116], [0, 2.059004306793213], [1, 2.9190070629119873]]"
winner,blue
game,78
iterations,19
times of actions,"[[0, 1.8939924240112305], [1, 1.9430241584777832], [0, 1.9470040798187256], [1, 1.9440011978149414], [0, 1.945957899093628], [1, 1.9569964408874512], [0, 2.128999948501587], [1, 2.014028787612915], [0, 2.0859625339508057], [1, 2.2190229892730713], [0, 2.4759697914123535], [1, 2.4594171047210693], [0, 2.53399920463562], [1, 2.723187208175659], [0, 2.4528355598449707], [1, 2.4550046920776367], [0, 2.4850399494171143], [1, 2.4280121326446533], [0, 2.428041696548462], [1, 2.5450141429901123]]"
winner,none
game,79
iterations,21
times of actions,"[[0, 1.0101759433746338], [1, 0.9479999542236328], [0, 1.8569750785827637], [1, 1.661001443862915], [0, 1.9659993648529053], [1, 1.9398534297943115], [0, 1.9460029602050781], [1, 1.9270031452178955], [0, 2.11899995803833], [1, 1.9570138454437256], [0, 1.9820330142974854], [1, 1.9393806457519531], [0, 2.050882577896118], [1, 2.0520401000976562], [0, 2.2419662475585938], [1, 2.4930052757263184], [0, 2.6509649753570557], [1, 2.5510053634643555], [0, 2.4200022220611572], [1, 2.429996967315674], [0, 2.4742891788482666], [1, 2.4711742401123047]]"
winner,none
game,80
iterations,77
times of actions,"[[0, 1.4719963073730469], [1, 1.637000322341919], [0, 1.878997802734375], [1, 1.8789973258972168], [0, 1.966963529586792], [1, 1.9779548645019531], [0, 1.9560401439666748], [1, 2.040966510772705], [0, 2.325969934463501], [1, 2.4240002632141113], [0, 3.552964210510254], [1, 4.155961513519287], [0, 3.5829498767852783], [1, 4.335954666137695], [0, 3.569946050643921], [1, 4.1800079345703125], [0, 3.5559449195861816], [1, 4.351959705352783], [0, 3.623995780944824], [1, 4.194024324417114], [0, 3.594996213912964], [1, 4.336001634597778], [0, 3.556964874267578], [1, 4.2665205001831055], [0, 3.5829524993896484], [1, 4.371949911117554], [0, 3.487950563430786], [1, 4.28400182723999], [0, 3.3639373779296875], [1, 4.319952726364136], [0, 3.4709668159484863], [1, 4.049964904785156], [0, 3.4199585914611816], [1, 4.2589476108551025], [0, 4.287954330444336], [1, 3.3430001735687256], [0, 4.324002027511597], [1, 3.5609982013702393], [0, 4.354964017868042], [1, 3.432330369949341], [0, 4.368003606796265], [1, 3.5380141735076904], [0, 4.295174598693848], [1, 3.345043420791626], [0, 4.251087427139282], [1, 3.3710436820983887], [0, 4.4709837436676025], [1, 3.3820316791534424], [0, 4.42804217338562], [1, 3.3370442390441895], [0, 3.669004201889038], [1, 2.6080493927001953], [0, 4.380038261413574], [1, 3.2530367374420166], [0, 4.456043243408203], [1, 3.0990421772003174], [0, 4.07699990272522], [1, 2.728048086166382], [0, 3.505002021789551], [1, 2.4200382232666016], [0, 3.6470425128936768], [1, 2.458043336868286], [0, 4.013988494873047], [1, 3.4090466499328613], [0, 4.135040998458862], [1, 3.45605206489563], [0, 4.076035737991333], [1, 3.5900557041168213], [0, 4.377000093460083], [1, 3.566054105758667], [0, 4.2350404262542725], [1, 3.593569755554199], [0, 4.393194675445557], [1, 3.558044672012329], [0, 4.4680469036102295], [1, 3.5150043964385986], [0, 4.4990458488464355], [1, 3.6210415363311768]]"
winner,none
game,81
iterations,26
times of actions,"[[0, 1.0672359466552734], [1, 1.6160345077514648], [0, 1.8350226879119873], [1, 1.987046480178833], [0, 2.2420406341552734], [1, 1.99204683303833], [0, 1.9560036659240723], [1, 2.032042980194092], [0, 2.0680038928985596], [1, 2.3490445613861084], [0, 3.3380045890808105], [1, 4.528041839599609], [0, 3.4080419540405273], [1, 4.311044216156006], [0, 3.5930397510528564], [1, 4.436002969741821], [0, 3.4459943771362305], [1, 4.304995775222778], [0, 3.3749985694885254], [1, 4.61304235458374], [0, 3.2740538120269775], [1, 4.26696252822876], [0, 3.220048666000366], [1, 4.305954933166504], [0, 2.542048692703247], [1, 3.5000433921813965]]"
winner,blue
game,82
iterations,23
times of actions,"[[0, 1.8861520290374756], [1, 2.301182508468628], [0, 4.034168720245361], [1, 3.838139533996582], [0, 4.5200018882751465], [1, 3.379944324493408], [0, 4.600999593734741], [1, 3.6258156299591064], [0, 4.799055099487305], [1, 3.6600022315979004], [0, 4.886998653411865], [1, 3.165966033935547], [0, 4.112053155899048], [1, 2.3799986839294434], [0, 3.514007568359375], [1, 2.224944591522217], [0, 3.0359854698181152], [1, 2.1169960498809814], [0, 2.4539589881896973], [1, 1.654952049255371], [0, 2.3290205001831055], [1, 1.5179972648620605], [0, 2.124998092651367]]"
winner,red
game,83
iterations,31
times of actions,"[[0, 1.4299886226654053], [1, 1.5630440711975098], [0, 1.899993896484375], [1, 1.8719916343688965], [0, 1.934997320175171], [1, 1.9319994449615479], [0, 2.0410420894622803], [1, 2.0419983863830566], [0, 2.0189640522003174], [1, 2.106998920440674], [0, 2.3649487495422363], [1, 3.3999991416931152], [0, 4.52399206161499], [1, 3.491008996963501], [0, 4.255995750427246], [1, 3.4640142917633057], [0, 4.417943716049194], [1, 3.409130573272705], [0, 4.341009616851807], [1, 3.3380537033081055], [0, 4.527005195617676], [1, 3.28403902053833], [0, 4.066043376922607], [1, 2.4370386600494385], [0, 3.1710546016693115], [1, 2.361004590988159], [0, 2.6990432739257812], [1, 1.8320493698120117], [0, 2.4910225868225098], [1, 2.0890424251556396], [0, 2.744999647140503]]"
winner,red
game,84
iterations,29
times of actions,"[[0, 1.886244535446167], [1, 1.8770031929016113], [0, 1.9690423011779785], [1, 1.9430460929870605], [0, 1.9260063171386719], [1, 1.936009407043457], [0, 1.9450418949127197], [1, 1.9370436668395996], [0, 1.998002529144287], [1, 2.2230398654937744], [0, 2.4409983158111572], [1, 3.3790345191955566], [0, 4.312004089355469], [1, 3.456045627593994], [0, 4.610046625137329], [1, 3.4168035984039307], [0, 4.358855724334717], [1, 3.4210522174835205], [0, 4.560097694396973], [1, 3.392000675201416], [0, 4.429038047790527], [1, 3.314044237136841], [0, 4.468040227890015], [1, 2.9810032844543457], [0, 3.969043731689453], [1, 2.7550008296966553], [0, 4.03104567527771], [1, 2.7309963703155518], [0, 3.6583681106567383]]"
winner,red
game,85
iterations,33
