start time,1631469037.5784643
times of actions,"[[0, 1.5160331726074219], [1, 2.0211212635040283], [0, 2.030093193054199], [1, 2.3991189002990723], [0, 3.332008123397827], [1, 4.342875242233276], [0, 3.495035171508789], [1, 4.331369400024414], [0, 3.324042320251465], [1, 4.125001907348633], [0, 3.358004093170166], [1, 4.231286525726318], [0, 3.2160396575927734], [1, 3.9777374267578125], [0, 3.0100412368774414], [1, 3.300001859664917], [0, 2.2939910888671875], [1, 3.8446810245513916], [0, 2.898740768432617], [1, 3.1977617740631104], [0, 2.3189501762390137], [1, 3.038942337036133], [0, 1.9470386505126953], [1, 2.8849971294403076], [0, 1.6840407848358154], [1, 2.5700526237487793]]"
winner,blue
game,7
iterations,78
times of actions,"[[0, 1.347623348236084], [1, 1.6090548038482666], [0, 1.8832447528839111], [1, 1.9060420989990234], [0, 1.9404575824737549], [1, 1.918213129043579], [0, 1.9437263011932373], [1, 1.9579441547393799], [0, 2.1199965476989746], [1, 2.008997678756714], [0, 2.0699985027313232], [1, 2.355997085571289], [0, 3.4070332050323486], [1, 4.241998195648193], [0, 3.6910483837127686], [1, 4.1038124561309814], [0, 3.5600616931915283], [1, 4.13995361328125], [0, 3.7629637718200684], [1, 4.193986177444458], [0, 3.5709807872772217], [1, 4.159992694854736], [0, 3.7410151958465576], [1, 4.140878677368164], [0, 3.5923666954040527], [1, 4.151000738143921], [0, 3.7399938106536865], [1, 4.157001495361328], [0, 3.567000150680542], [1, 4.134103298187256], [0, 3.660902738571167], [1, 4.265040159225464], [0, 3.39798641204834], [1, 4.129963636398315], [0, 2.9809975624084473], [1, 3.459120750427246], [0, 3.341963529586792], [1, 3.067572593688965], [0, 3.278991460800171], [1, 4.359067440032959], [0, 3.353997230529785], [1, 4.340029001235962], [0, 3.2940399646759033], [1, 4.5098960399627686], [0, 3.378197431564331], [1, 4.271729230880737], [0, 3.2480413913726807], [1, 4.833387613296509], [0, 3.5119574069976807], [1, 4.586287498474121], [0, 3.3798015117645264], [1, 4.497994661331177], [0, 3.3989744186401367], [1, 4.483962297439575], [0, 3.5180490016937256], [1, 4.659126281738281], [0, 3.6850357055664062], [1, 4.170738220214844], [0, 3.3909947872161865], [1, 4.3598480224609375], [0, 3.0570502281188965], [1, 4.337961196899414], [0, 3.690962553024292], [1, 4.217044830322266], [0, 3.2560348510742188], [1, 4.064000368118286], [0, 3.20499324798584], [1, 4.131004333496094], [0, 3.434239149093628], [1, 4.070851564407349], [0, 3.260469913482666], [1, 4.098038196563721], [0, 3.4650416374206543], [1, 4.076037883758545], [0, 3.2470457553863525], [1, 4.205186367034912], [0, 3.2059762477874756], [1, 4.4596803188323975], [0, 3.7280404567718506]]"
winner,none
game,8
iterations,77
times of actions,"[[0, 1.7527048587799072], [1, 1.653003215789795], [0, 1.954038143157959], [1, 2.077998638153076], [0, 1.9729716777801514], [1, 1.9420320987701416], [0, 1.9300220012664795], [1, 2.0501999855041504], [0, 2.1119775772094727], [1, 2.374011993408203], [0, 3.750776767730713], [1, 4.176000356674194], [0, 3.6200029850006104], [1, 4.13000226020813], [0, 3.7519912719726562], [1, 4.129784107208252], [0, 3.571442127227783], [1, 4.144582748413086], [0, 3.7110114097595215], [1, 4.1760053634643555], [0, 3.563971519470215], [1, 4.1449596881866455], [0, 3.76104736328125], [1, 4.059999942779541], [0, 3.5849556922912598], [1, 4.120044946670532], [0, 3.614964485168457], [1, 4.235675096511841], [0, 3.4930386543273926], [1, 4.1232476234436035], [0, 3.4880428314208984], [1, 4.188039064407349], [0, 3.441964864730835], [1, 4.086007118225098], [0, 4.42394232749939], [1, 3.4010400772094727], [0, 4.225052118301392], [1, 3.350356101989746], [0, 4.307039737701416], [1, 3.522915840148926], [0, 4.282787322998047], [1, 3.2950167655944824], [0, 4.327831029891968], [1, 3.522205352783203], [0, 4.225045204162598], [1, 3.2119195461273193], [0, 4.318899869918823], [1, 3.6030428409576416], [0, 4.3390021324157715], [1, 3.2067792415618896], [0, 3.4965524673461914], [1, 2.587040662765503], [0, 4.504090070724487], [1, 3.1859796047210693], [0, 4.23800253868103], [1, 3.022993803024292], [0, 4.247034549713135], [1, 2.673980712890625], [0, 3.3674709796905518], [1, 2.1960203647613525], [0, 3.5370614528656006], [1, 2.6469969749450684], [0, 3.9980437755584717], [1, 3.341001272201538], [0, 4.054479598999023], [1, 3.679229974746704], [0, 4.106831073760986], [1, 3.663045883178711], [0, 4.222039461135864], [1, 3.747804641723633], [0, 4.2260425090789795], [1, 3.575296640396118], [0, 4.22999906539917], [1, 3.784001111984253], [0, 4.723039150238037], [1, 3.5222275257110596], [0, 4.249988555908203], [1, 3.692047357559204]]"
winner,none
